SNCZI,ResID,DAM_NAME,YEAR,LON,LAT,LisfloodX,LisfloodY,Vc,Vf,Qmin,Qnd,Vn,Qn,CAP_MCM,CATCH_SKM
2203,3101,TANES,1978,-5.424583,43.21875,-5.425,43.225,1.0000000000000001e-07,9.7e-07,1.54,17.89,5e-07,3.51,33.3,256.038048
2222,3753,TERRADETS,1935,0.887917,42.057917,0.89167,42.05833,1.0000000000000001e-07,9.7e-07,7.18,67.61,5e-07,13.0,33.2,2496.204288
2262,3289,TORRE DEL AGUILA,1947,-5.754583,37.042917,-5.75833,37.04167,1.0000000000000001e-07,9.7e-07,0.18,19.31,5e-07,0.63,66.0,447.214048
2280,3214,TORREJON TAJO,1966,-5.982917,39.832083,-5.975,39.825,1.0000000000000001e-07,9.7e-07,0.12,485.71,5e-07,55.99,176.3,36830.859264
2281,3212,TORREJON TIETAR,1967,-5.989583,39.84125,-5.975,39.84167,1.0000000000000001e-07,9.7e-07,0.18,64.79,5e-07,5.5,22.0,4314.239488
2299,163,TOUS,0,-0.657917,39.137083,-0.65833,39.14167,1.0000000000000001e-07,9.7e-07,6.94,156.43,5e-07,27.32,378.0,17130.902528
2303,150,TRANCO DE BEAS,0,-2.795417,38.17375,-2.775,38.175,1.0000000000000001e-07,9.7e-07,0.5,10.29,5e-07,1.11,498.0,541.238656
2305,24,LA TRANQUERA,1960,-1.806665487,41.2657095,-1.79167,41.25833,1.0000000000000001e-07,9.7e-07,1.0,20.0,5e-07,3.1,84.0,1481.090304
2327,3111,ULLIVARRI,1957,-2.61625,42.932917,-2.60833,42.925,1.0000000000000001e-07,9.7e-07,1.34,19.9,5e-07,2.66,147.0,279.750336
2338,3110,URRUNAGA,1957,-2.652917,42.957917,-2.65833,42.95833,1.0000000000000001e-07,9.7e-07,0.52,6.35,5e-07,0.89,72.0,145.88232
2345,3128,UZQUIZA,1988,-3.367083,42.30625,-3.375,42.30833,1.0000000000000001e-07,9.7e-07,0.27,2.36,5e-07,0.45,75.0,150.259136
2348,3173,EL VADO,1954,-3.299583,41.007917,-3.29167,41.00833,1.0000000000000001e-07,9.7e-07,0.93,14.62,5e-07,1.57,55.7,383.52288
2350,10,VADOMOJON,0,-4.209175793,37.66972184,-4.225,37.64167,1.0000000000000001e-07,9.7e-07,0.1,6.0,5e-07,0.4,163.2,1218.078336
2362,156,VALDECAÑAS,1964,-5.609583,39.77875,-5.60833,39.775,1.0000000000000001e-07,9.7e-07,0.76,478.04,5e-07,55.09,1446.0,36273.119232
2366,3268,VALDEINFIERNO,1806,-1.96625,37.807917,-1.95833,37.80833,1.0000000000000001e-07,9.7e-07,0.01,2.11,5e-07,0.42,14.2,420.787296
2380,3202,VALDEOBISPO,1965,-6.250417,40.099583,-6.24167,40.10833,1.0000000000000001e-07,9.7e-07,1.24,44.86,5e-07,4.39,53.0,2459.515648
2430,3189,VALMAYOR,1975,-4.049583,40.537083,-4.05833,40.54167,1.0000000000000001e-07,9.7e-07,0.2,4.79,5e-07,0.39,124.0,94.024752
2431,3139,VALPARAISO,1988,-6.274583,41.995417,-6.275,41.99167,1.0000000000000001e-07,9.7e-07,1.55,31.12,5e-07,3.35,168.5,794.25024
2441,3239,LA VEGA DEL JABALON,1992,-3.787917,38.762083,-3.79167,38.775,1.0000000000000001e-07,9.7e-07,0.04,25.13,5e-07,2.4,33.5,1829.80288
2449,3125,VELLE,1966,-7.852083,42.362083,-7.825,42.375,1.0000000000000001e-07,9.7e-07,27.31,715.05,5e-07,76.57,17.0,12769.523712
2463,3232,EL VICARIO,1973,-3.992917,39.06125,-3.99167,39.05833,1.0000000000000001e-07,9.7e-07,0.05,163.02,5e-07,19.25,52.0,16294.874112
2469,3105,VILAGUDIN,1981,-8.495417,43.095417,-8.49167,43.09167,1.0000000000000001e-07,9.7e-07,0.32,11.52,5e-07,1.02,18.3,77.873016
2470,3122,VILASOUTO,1969,-7.42375,42.662083,-7.425,42.65833,1.0000000000000001e-07,9.7e-07,0.2,4.71,5e-07,0.43,20.5,53.111816
2483,3157,VILLALCAMPO,1949,-6.084583,41.492917,-6.09167,41.49167,1.0000000000000001e-07,9.7e-07,36.18,951.22,5e-07,166.44,66.5,63164.862464
2495,3230,VILLAR DEL REY,1987,-6.86625,39.15375,-6.85833,39.15833,1.0000000000000001e-07,9.7e-07,0.42,23.43,5e-07,1.73,207.4,1021.744256
2496,3178,EL VILLAR,1882,-3.562917,40.949583,-3.55833,40.95833,1.0000000000000001e-07,9.7e-07,0.86,27.06,5e-07,2.25,22.5,727.038912
2511,3295,LA VIÑUELA,1986,-4.164583,36.862083,-4.15833,36.85833,1.0000000000000001e-07,9.7e-07,0.15,10.25,5e-07,0.63,170.0,129.042656
2534,7,YEGUAS,0,-4.17350647,38.08384497,-4.24167,38.075,1.0000000000000001e-07,9.7e-07,0.7,276.0,5e-07,8.3,228.7,811.978432
2539,3297,ZAHARA,1992,-5.389583,36.854583,-5.39167,36.85833,1.0000000000000001e-07,9.7e-07,0.19,11.75,5e-07,0.37,223.0,137.534864
2560,17,ZUFRE,0,-6.316714326,37.82473027,-6.29167,37.80833,1.0000000000000001e-07,9.7e-07,0.1,15.0,5e-07,0.7,175.3,832.16224
2783,3180,BELEÑA,1982,-3.199583,40.937083,-3.19167,40.94167,1.0000000000000001e-07,9.7e-07,0.9,11.0,5e-07,1.46,50.5,476.493312
2835,3216,ARROCAMPO,1976,-5.732083,39.787083,-5.70833,39.80833,1.0000000000000001e-07,9.7e-07,0.54,484.75,5e-07,55.62,35.5,100.322472
2950,4261,IRUEÑA,0,-6.577083,40.44375,-6.575,40.44167,1.0000000000000001e-07,9.7e-07,0.67,17.56,5e-07,1.18,122.5,479.62432
2960,3223,TORRE DE ABRAHAM,1997,-4.25375,39.370417,-4.25833,39.375,1.0000000000000001e-07,9.7e-07,0.21,11.55,5e-07,1.12,185.0,756.54816
3101,3118,MATALAVILLA,1967,-6.45125,42.83625,-6.44167,42.84167,1.0000000000000001e-07,9.7e-07,0.35,4.92,5e-07,0.62,65.0,85.776528
3181,27,RIALB,1999,1.231197638,41.98637314,1.19167,41.94167,1.0000000000000001e-07,9.7e-07,7.3,117.0,5e-07,17.6,404.0,3296.13312
3198,20,YESA,0,-1.180936412,42.59539322,-1.175,42.60833,1.0000000000000001e-07,9.7e-07,7.0,112.0,5e-07,14.1,447.0,2192.31744
3259,3243,LA FRESNEDA,1988,-3.62875,38.557917,-3.625,38.55833,1.0000000000000001e-07,9.7e-07,0.01,2.96,5e-07,0.23,13.2,134.47576
3518,160,BUENDIA,0,-2.782083,40.399583,-2.775,40.39167,1.0000000000000001e-07,9.7e-07,3.55,42.08,5e-07,6.51,1639.0,3311.03616
