date,outflow,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-08-19,24.794,31.983,0.05,6.64,0.0,24.57
1990-08-20,23.104,32.068,0.05,5.6,0.45,24.18
1990-08-21,19.81,32.065,0.05,5.17,0.11,21.85
1990-08-22,21.127,32.037,0.05,7.62,0.0,21.69
1990-08-23,22.471,32.034,0.05,6.0,0.0,21.23
1990-08-24,25.491,32.006,0.05,6.16,0.0,22.65
1990-08-25,24.555,32.009,0.05,6.08,0.0,20.88
1990-08-26,24.706,32.042,0.05,6.82,0.0,22.26
1990-08-27,22.451,32.113,0.05,6.54,0.0,22.14
1990-08-28,19.423,32.273,0.05,5.84,0.0,23.16
1990-08-29,21.352,32.155,0.05,4.47,0.0,23.03
1990-08-30,20.021,32.095,0.05,5.92,0.0,21.34
1990-08-31,21.209,32.063,0.05,6.25,0.0,21.97
1990-09-01,23.439,32.006,0.05,3.78,0.0,21.19
1990-09-02,23.596,32.006,0.05,4.34,0.0,21.43
1990-09-03,23.334,32.006,0.05,4.51,0.0,22.31
1990-09-04,18.1,32.011,0.05,3.94,0.0,20.94
1990-09-05,19.237,32.063,0.05,4.72,0.0,21.43
1990-09-06,18.895,32.001,0.05,5.6,0.0,22.48
1990-09-07,13.635,31.944,0.05,5.42,0.0,22.29
1990-09-08,12.459,31.944,0.05,5.66,0.0,21.96
1990-09-09,13.556,31.944,0.05,3.3,2.85,21.28
1990-09-10,15.074,31.947,0.05,3.81,0.19,20.91
1990-09-11,13.308,31.972,0.05,4.24,0.0,22.45
1990-09-12,14.305,31.954,0.05,4.49,0.0,22.52
1990-09-13,14.349,32.06,0.05,3.96,0.0,21.96
1990-09-14,13.017,31.983,0.05,4.1,0.0,21.03
1990-09-15,7.077,32.065,0.05,3.32,0.19,21.81
1990-09-16,6.621,32.039,0.05,3.07,0.84,22.55
1990-09-17,6.726,32.068,0.05,2.1,6.21,19.24
1990-09-18,7.733,32.068,0.05,2.87,2.98,20.75
1990-09-19,7.363,32.083,0.05,3.2,0.77,21.01
1990-09-20,6.057,32.243,0.05,3.21,0.51,21.86
1990-09-21,6.79,32.139,0.05,3.96,0.0,22.3
1990-09-22,6.017,32.253,0.05,5.11,0.0,19.29
1990-09-23,6.377,32.253,0.05,2.97,0.0,20.46
1990-09-24,6.439,32.253,0.05,2.59,0.0,18.76
1990-09-25,7.098,32.253,0.05,2.32,1.83,19.69
1990-09-26,6.996,32.253,0.05,1.8,0.26,15.58
1990-09-27,8.168,32.253,0.05,3.77,0.0,21.83
1990-09-28,6.47,32.253,0.05,2.89,0.0,22.66
1990-09-29,6.455,32.253,0.05,3.0,0.0,23.17
1990-09-30,6.165,32.253,0.05,4.55,1.96,24.0
1990-10-01,4.581,32.253,0.05,2.63,0.06,18.37
1990-10-02,1.581,32.253,0.05,2.61,11.92,18.38
1990-10-03,1.239,32.253,0.06,1.83,5.77,16.58
1990-10-04,2.207,32.253,0.06,2.12,0.21,17.34
1990-10-05,2.75,32.253,0.05,1.97,0.0,16.09
1990-10-06,0.878,32.245,0.05,2.47,0.0,16.9
1990-10-07,1.745,32.163,0.05,2.54,0.0,15.89
1990-10-08,0.318,32.194,0.05,2.9,0.0,14.89
1990-10-09,0.444,32.219,0.05,1.53,0.0,10.11
1990-10-10,1.176,32.191,0.05,2.52,0.0,12.91
1990-10-11,0.356,32.186,0.05,1.75,0.0,13.61
1990-10-12,1.856,32.132,0.05,1.99,0.0,14.07
1990-10-13,3.208,32.163,0.05,2.0,0.22,15.76
1990-10-14,3.558,32.196,0.07,1.99,0.0,16.87
1990-10-15,3.028,32.25,0.09,2.07,5.44,19.28
1990-10-16,3.336,32.232,0.09,1.23,7.76,13.78
1990-10-17,0.626,32.354,0.08,1.32,7.71,14.49
1990-10-18,4.045,32.438,0.09,1.06,0.21,11.7
1990-10-19,4.051,32.423,0.09,1.44,5.04,13.9
1990-10-20,5.971,32.248,0.06,1.01,0.16,10.29
1990-10-21,1.836,32.188,0.12,1.05,0.78,12.36
1990-10-22,2.68,32.173,0.13,0.84,26.86,11.09
1990-10-23,16.018,32.276,0.08,0.98,2.62,11.14
1990-10-24,8.7,31.841,0.07,0.89,0.2,11.48
1990-10-25,2.469,31.72,0.07,1.27,1.49,10.78
1990-10-26,1.49,31.64,0.06,0.97,0.01,10.35
1990-10-27,0.058,31.738,0.07,0.9,3.25,12.59
1990-10-28,0.241,32.178,0.06,0.82,0.11,11.1
1990-10-29,2.296,32.027,0.06,0.84,0.29,10.95
1990-10-30,2.667,31.9,0.06,1.06,0.0,13.84
1990-10-31,1.96,31.756,0.06,0.95,0.0,14.37
1990-11-01,0.557,31.728,0.06,0.79,1.98,12.57
1990-11-02,0.154,31.725,0.06,0.89,0.05,9.87
1990-11-03,1.119,31.7,0.06,0.47,0.0,7.17
1990-11-04,0.058,31.733,0.06,1.09,0.0,7.15
1990-11-05,0.058,31.798,0.06,1.14,0.0,8.04
1990-11-06,0.188,31.882,0.06,0.98,0.0,9.97
1990-11-07,1.659,31.869,0.1,0.68,0.13,13.27
1990-11-08,1.984,31.728,0.16,0.9,4.85,13.03
1990-11-09,1.111,31.723,0.12,0.73,6.23,13.07
1990-11-10,3.241,31.671,0.08,0.49,0.2,10.2
1990-11-11,0.058,31.735,0.07,0.65,0.0,10.09
1990-11-12,0.188,31.813,0.06,0.53,0.0,9.82
1990-11-13,1.637,31.843,0.06,0.76,0.0,11.19
1990-11-14,1.681,31.763,0.06,0.84,0.0,11.14
1990-11-15,0.058,31.813,0.06,0.56,0.0,10.21
1990-11-16,0.15,31.846,0.06,1.0,0.0,12.18
1990-11-17,1.065,31.792,0.06,1.46,0.0,10.8
1990-11-18,0.058,31.813,0.06,1.08,0.0,10.76
1990-11-19,0.137,31.846,0.06,0.85,0.0,10.44
1990-11-20,0.928,31.803,0.06,0.91,0.0,9.93
1990-11-21,0.137,31.941,0.06,0.37,0.0,9.59
1990-11-22,1.007,31.91,0.06,0.32,1.08,6.96
1990-11-23,0.928,31.885,0.06,0.13,0.0,3.04
1990-11-24,0.137,31.916,0.09,0.43,1.49,5.33
1990-11-25,1.493,32.006,0.11,0.38,19.8,8.52
1990-11-26,7.022,32.64,0.08,0.28,2.66,5.48
1990-11-27,8.399,32.132,0.08,0.25,5.48,4.82
1990-11-28,1.521,32.152,0.06,0.1,0.14,3.37
1990-11-29,1.877,32.063,0.06,0.11,0.13,3.27
1990-11-30,1.058,32.006,0.06,0.24,0.0,2.63
1990-12-01,1.49,32.011,0.06,0.16,0.0,2.15
1990-12-02,0.206,32.063,0.06,0.32,0.0,4.11
1990-12-03,1.812,31.996,0.06,0.47,0.0,6.72
1990-12-04,1.569,31.876,0.06,0.34,0.07,9.08
1990-12-05,0.928,31.81,0.06,0.58,0.83,9.08
1990-12-06,0.058,31.816,0.06,0.41,0.12,9.69
1990-12-07,0.188,31.882,0.06,0.47,0.0,7.78
1990-12-08,1.62,31.872,0.07,0.11,0.0,6.82
1990-12-09,1.673,31.769,0.08,0.23,8.59,5.25
1990-12-10,2.257,31.876,0.06,0.13,1.05,0.71
1990-12-11,2.165,31.806,0.06,0.17,1.29,0.8
1990-12-12,1.065,31.761,0.06,0.23,0.05,2.09
1990-12-13,0.058,31.794,0.06,0.46,0.0,3.74
1990-12-14,0.137,31.861,0.06,0.37,0.0,4.46
1990-12-15,1.058,31.965,0.06,0.25,0.0,2.27
1990-12-16,1.49,31.856,0.06,0.08,0.0,0.5
1990-12-17,0.177,31.903,0.06,0.31,0.0,3.89
1990-12-18,1.493,31.78,0.06,0.46,0.0,5.83
1990-12-19,1.49,31.671,0.06,0.41,0.99,7.05
1990-12-20,0.188,31.718,0.06,0.34,3.92,5.29
1990-12-21,1.569,31.614,0.06,0.36,0.17,4.35
1990-12-22,0.928,31.735,0.06,0.17,0.0,4.15
1990-12-23,0.058,31.813,0.06,0.05,0.0,1.99
1990-12-24,0.188,31.848,0.06,0.12,0.0,3.3
1990-12-25,1.49,31.816,0.06,0.26,0.0,5.02
1990-12-26,0.177,31.876,0.06,0.19,2.92,6.09
1990-12-27,1.454,31.81,0.06,0.21,0.1,6.16
1990-12-28,1.196,31.81,0.06,0.24,0.37,8.23
1990-12-29,1.49,31.821,0.06,0.07,0.01,6.87
1990-12-30,0.058,31.949,0.06,0.05,0.0,6.24
1990-12-31,0.206,32.001,0.06,0.06,0.0,6.28
1991-01-01,1.681,31.949,0.06,0.1,0.0,7.75
1991-01-02,0.058,32.014,0.06,0.07,0.0,6.18
1991-01-03,0.15,32.09,0.06,0.06,0.0,5.52
1991-01-04,1.145,32.011,0.06,0.14,0.0,5.81
1991-01-05,0.928,32.073,0.06,0.22,0.51,3.13
1991-01-06,0.058,32.134,0.06,0.39,0.01,2.47
1991-01-07,0.182,32.183,0.06,0.45,0.0,3.96
1991-01-08,1.536,32.088,0.06,0.33,0.05,4.43
1991-01-09,1.557,31.949,0.06,0.18,2.61,8.91
1991-01-10,3.451,31.648,0.06,0.17,0.09,7.56
1991-01-11,2.317,31.468,0.06,0.02,0.0,3.52
1991-01-12,0.747,31.666,0.07,0.18,1.37,5.9
1991-01-13,0.058,31.671,0.06,0.19,0.51,4.03
1991-01-14,0.058,31.733,0.06,0.73,0.01,1.79
1991-01-15,0.058,31.794,0.06,0.26,0.0,0.41
1991-01-16,0.058,31.856,0.06,0.22,0.0,2.64
1991-01-17,0.058,31.921,0.06,0.23,0.0,2.34
1991-01-18,0.206,32.005,0.06,0.24,0.0,5.72
1991-01-19,1.681,32.011,0.06,0.32,0.0,6.0
1991-01-20,0.058,32.073,0.06,0.19,0.0,7.38
1991-01-21,0.15,32.124,0.06,0.22,0.56,6.48
1991-01-22,1.157,32.06,0.06,0.35,0.99,3.66
1991-01-23,1.065,31.98,0.06,0.19,0.48,3.11
1991-01-24,0.058,32.042,0.06,0.3,0.1,3.44
1991-01-25,0.241,32.095,0.06,0.31,0.03,4.05
1991-01-26,2.174,32.06,0.06,0.31,0.01,4.08
1991-01-27,1.421,31.952,0.06,0.37,0.0,3.91
1991-01-28,2.985,31.692,0.06,0.52,0.0,4.06
1991-01-29,0.864,31.64,0.06,0.62,0.0,3.84
1991-01-30,0.058,31.7,0.06,0.34,2.78,5.05
1991-01-31,0.093,31.731,0.06,0.38,0.08,2.61
1991-02-01,0.644,31.754,0.07,0.43,0.12,4.96
1991-02-02,2.466,31.694,0.07,0.49,7.5,3.86
1991-02-03,2.245,31.638,0.06,0.25,0.53,1.18
1991-02-04,3.58,31.334,0.06,0.78,0.0,2.71
1991-02-05,0.058,31.424,0.06,0.66,0.04,3.76
1991-02-06,0.058,31.501,0.06,0.79,0.0,5.57
1991-02-07,0.177,31.725,0.07,0.69,3.71,7.32
1991-02-08,1.362,31.712,0.06,0.54,2.86,5.21
1991-02-09,0.176,31.874,0.06,0.43,0.07,3.0
1991-02-10,1.408,31.787,0.06,0.53,0.0,5.25
1991-02-11,0.673,31.762,0.06,0.46,0.09,3.33
1991-02-12,0.058,31.798,0.07,0.53,0.02,3.6
1991-02-13,0.177,31.887,0.09,0.67,4.7,4.25
1991-02-14,1.362,31.954,0.07,0.5,0.92,1.88
1991-02-15,0.137,32.063,0.06,1.17,0.01,1.56
1991-02-16,1.025,31.998,0.06,1.3,0.0,2.66
1991-02-17,1.171,31.916,0.15,0.57,3.8,1.77
1991-02-18,0.633,31.959,0.2,0.72,8.25,3.56
1991-02-19,1.521,32.132,0.16,1.1,8.92,6.82
1991-02-20,1.967,32.152,0.12,0.77,0.65,5.91
1991-02-21,2.033,32.06,0.1,1.23,0.23,8.26
1991-02-22,1.454,31.978,0.08,0.84,0.8,6.4
1991-02-23,1.111,32.003,0.07,0.96,0.0,5.95
1991-02-24,0.557,31.983,0.07,1.69,0.0,7.98
1991-02-25,0.058,32.071,0.06,1.52,0.0,7.64
1991-02-26,0.188,32.089,0.07,1.31,4.18,7.89
1991-02-27,1.569,31.97,0.06,1.01,0.1,7.98
1991-02-28,0.928,31.921,0.08,1.03,0.04,7.18
1991-03-01,0.28,32.06,0.11,0.86,13.41,6.63
1991-03-02,2.956,32.647,0.1,0.87,9.06,4.35
1991-03-03,5.306,32.552,0.08,1.22,0.23,7.87
1991-03-04,2.558,32.425,0.07,2.09,0.0,10.06
1991-03-05,2.571,32.284,0.1,1.62,0.39,11.86
1991-03-06,2.72,32.305,0.3,1.59,6.86,10.03
1991-03-07,4.251,32.531,0.39,0.9,24.5,7.29
1991-03-08,21.11,32.456,0.32,1.16,7.12,6.28
1991-03-09,20.04,31.656,0.3,1.24,5.27,7.79
1991-03-10,5.781,31.861,0.27,1.22,2.85,9.61
1991-03-11,7.467,31.681,0.23,1.42,0.51,10.21
